shopping_id,cnpj,loja_nome,segmento,cupons,clientes,valor_total,shopping_sigla,participou
2,52194320000638,Nba Store Balneario Camboriu,Moda,13,12,8933.91,BS,True
2,55591589000131,Casa Bauducco,Gastronomia,78,57,8904.17,BS,True
2,24276833004305,Natura,Beleza e Bem-estar,48,43,8781.55,BS,True
2,17574231003550,Youcom,Moda,25,24,8195.07,BS,True
2,41640059000121,Vans,Calçados,10,9,8029.83,BS,True
2,34587970000157,Adcos,Beleza e Bem-estar,19,18,7671.1,BS,True
2,46088254000104,Artwalk,Calçados,8,8,7583.96,BS,True
2,13393158004299,MeLinda,Calçados Femininos,42,40,7548.31,BS,True
2,80973795000153,O Boticário,Beleza e Bem-estar,58,53,7236.74,BS,True
2,02421421009500,TIM,Telefonia,2,1,7081.84,BS,True
2,09054385033239,Vr Collezioni,Moda,2,2,6940.0,BS,True
2,30644994000140,Óticas Carol,Ótica,5,4,6395.0,BS,True
2,23417670000103,Luz da Lua,Calçados,9,7,6373.1,BS,True
2,09048502000167,Sandra Duwe,Joalheria,2,2,6283.0,BS,True
2,07704261000131,Kipling,Presentes e Acessórios,10,7,6122.6,BS,True
2,12879361000139,Coach,Moda Feminina,2,2,5886.2,BS,True
2,33217311000328,Unizushi,Gastronomia,22,14,5094.77,BS,True
2,43470566006473,Shoulder,Moda Feminina,4,4,5061.99,BS,True
2,59321504000318,Saint Germain,Joalheria,10,9,5021.9,BS,True
2,27571229000132,Bibi,Infantil,16,13,4856.29,BS,True
2,47277437000130,Bagaggio,Presentes e Acessórios,5,5,4793.95,BS,True
2,28240079000147,Calvin Klein,Moda,7,7,4657.0,BS,True
2,42886409000105,Morana,Presentes e Acessórios,20,19,4603.12,BS,True
2,34900135000125,Audithorium,Moda,8,8,4595.03,BS,True
2,21758666000183,Paladare Di Italia,Gastronomia,55,32,4480.6,BS,True
2,58113136000198,Wepink,Beleza e Bem-estar,38,30,4468.16,BS,True
2,08377511010282,Mac,Beleza e Bem-estar,12,12,4445.1,BS,True
2,13627491000902,McDonald's,Gastronomia,84,52,4426.15,BS,True
2,09054385033310,Ellus,Moda,3,3,4266.85,BS,True
2,02558157083432,Vivo,Telefonia,1,1,4234.15,BS,True
2,22872129000122,Aramis,Moda,2,2,4083.0,BS,True
2,34789369000147,Bottero,Calçados,10,10,4073.7,BS,True
2,27550252000140,Loungerie,Moda,18,17,4038.19,BS,True
2,46548870000109,Democrata,Calçados,9,9,4006.65,BS,True
2,52028509000146,Puket,Moda,16,16,3918.93,BS,True
2,38543106000104,KFC,Gastronomia,70,55,3780.1,BS,True
2,02263214000186,Gamelas & Panella´s,Gastronomia,46,29,3732.2,BS,True
2,13257648006988,Sunglass Hut,Ótica,2,2,3681.5,BS,True
2,47053209000187,Stanley,Presentes e Acessórios,12,11,3627.02,BS,True
2,09002550000114,AJFans Balneário Shopping,Promocional,3,1,3500.0,BS,True
2,26380916000108,Tip Top,Infantil,13,12,3295.44,BS,True
2,35643566000116,Osklen,Moda,8,7,3261.0,BS,True
2,55743365000106,Samsonite,Presentes e Acessórios,2,2,3235.0,BS,True
2,21157895000142,Sinhá Benta,Gastronomia,18,16,3135.8,BS,True
2,52082662000151,Milon,Infantil,9,9,2975.7,BS,True
2,11581675004266,Água de coco,Moda Feminina,2,2,2947.0,BS,True
2,55723665000115,Havaianas,Calçados,30,30,2909.6,BS,True
2,09054385033409,Salinas,Moda,5,5,2798.0,BS,True
2,08951567000155,Richard's,Moda,2,2,2797.0,BS,True
2,60895361000175,Pampile,Infantil,7,7,2569.83,BS,True
2,60975658000655,Colcci,Moda,4,4,2512.0,BS,True
2,04657129000985,Jcanedo,Moda,5,4,2446.74,BS,True
2,39438057000102,Swell Poke,Gastronomia,31,23,2402.0,BS,True
2,11078529000730,Manôa Acessórios,Presentes e Acessórios,25,23,2374.91,BS,True
2,55605861000195,Havanna Café,Gastronomia,24,17,2274.05,BS,True
2,29224871000170,Criamigos,Infantil,10,10,2193.64,BS,True
2,52203144000149,Usaflex,Calçados,5,5,2157.96,BS,True
2,55604646000170,Café Cultura,Gastronomia,41,30,2146.02,BS,True
2,16945787004353,Souq,Moda Feminina,3,3,2043.6,BS,True
2,49961545006518,Paquetá Esportes,Esportes,6,5,2034.91,BS,True
2,21345888000174,Swarovski,Joalheria,2,2,1908.0,BS,True
2,46208235000174,Mini Kalzone,Gastronomia,85,52,1849.1,BS,True
2,02876218000563,Pizza Hut,Gastronomia,28,22,1803.89,BS,True
2,27274663000231,Tea Shop,Gastronomia,7,6,1773.18,BS,True
