id,cliente_id,promocao_id,shopping_id,pontos_totais,pontos_unitarios,quantidade_numeros,cliente_saldo_anterior,cliente_saldo_posterior,status,data_resgate,shopping_sigla
194,250973,1,5,100,100,1,3707,3607,Resgatado,2026-03-19 16:47:20,GS
195,497073,1,5,300,100,3,3359,3059,Resgatado,2026-03-19 16:47:31,GS
196,55416,1,1,1300,100,13,1335,35,Resgatado,2026-03-19 16:54:36,CS
197,101861,1,2,2000,100,20,7346,5346,Resgatado,2026-03-19 16:56:28,BS
198,127402,1,5,500,100,5,11118,10618,Resgatado,2026-03-19 16:56:29,GS
199,127402,1,5,100,100,1,10618,10518,Resgatado,2026-03-19 16:58:08,GS
200,33817,1,4,100,100,1,1974,1874,Resgatado,2026-03-19 16:58:29,NR
201,100576,1,3,100,100,1,6102,6002,Resgatado,2026-03-19 16:58:31,NK
202,107452,1,2,3000,100,30,8465,5465,Resgatado,2026-03-19 16:58:43,BS
203,100576,1,3,100,100,1,6002,5902,Resgatado,2026-03-19 16:59:32,NK
204,407372,1,2,300,100,3,2559,2259,Resgatado,2026-03-19 17:02:40,BS
205,407372,1,2,1900,100,19,2259,359,Resgatado,2026-03-19 17:06:22,BS
206,143009,1,1,1000,100,10,4219,3219,Resgatado,2026-03-19 17:06:54,CS
207,275835,1,4,6200,100,62,11255,5055,Resgatado,2026-03-19 17:09:59,NR
208,339891,1,3,100,100,1,1870,1770,Resgatado,2026-03-19 17:10:37,NK
209,29669,1,3,2500,100,25,2856,356,Resgatado,2026-03-19 17:11:09,NK
210,29669,1,3,300,100,3,356,56,Resgatado,2026-03-19 17:12:24,NK
211,82432,1,1,300,100,3,1238,938,Resgatado,2026-03-19 17:23:57,CS
212,55140,1,6,200,100,2,1938,1738,Resgatado,2026-03-19 17:25:56,NS
213,94503,1,1,4900,100,49,4993,93,Resgatado,2026-03-19 17:26:47,CS
214,22135,1,3,5500,100,55,5582,82,Resgatado,2026-03-19 17:28:54,NK
215,237421,1,5,1700,100,17,1793,93,Resgatado,2026-03-19 17:30:45,GS
216,241829,1,3,100,100,1,6543,6443,Resgatado,2026-03-19 17:31:38,NK
217,224144,1,3,1000,100,10,5865,4865,Resgatado,2026-03-19 17:33:20,NK
218,61953,1,1,700,100,7,750,50,Resgatado,2026-03-19 17:35:27,CS
219,153821,1,3,600,100,6,637,37,Resgatado,2026-03-19 17:38:39,NK
220,514098,1,5,300,100,3,2180,1880,Resgatado,2026-03-19 17:52:03,GS
221,22387,1,3,100,100,1,12579,12479,Resgatado,2026-03-19 17:59:39,NK
222,166781,1,2,500,100,5,15965,15465,Resgatado,2026-03-19 18:01:38,BS
223,22387,1,3,100,100,1,12479,12379,Resgatado,2026-03-19 18:02:55,NK
224,37452,1,2,500,100,5,35307,34807,Resgatado,2026-03-19 18:04:29,BS
225,98962,1,2,4500,100,45,4583,83,Resgatado,2026-03-19 18:06:18,BS
226,196327,1,6,1300,100,13,5976,4676,Resgatado,2026-03-19 18:09:56,NS
227,37452,1,2,2700,100,27,34807,32107,Resgatado,2026-03-19 18:10:35,BS
228,196680,1,6,2500,100,25,2548,48,Resgatado,2026-03-19 18:12:37,NS
229,133754,1,3,1200,100,12,1287,87,Resgatado,2026-03-19 18:16:01,NK
230,345066,1,1,400,100,4,3250,2850,Resgatado,2026-03-19 18:23:25,CS
231,22387,1,3,200,100,2,13341,13141,Resgatado,2026-03-19 18:25:56,NK
232,440178,1,5,2900,100,29,7177,4277,Resgatado,2026-03-19 18:27:30,GS
233,215849,1,2,600,100,6,955,355,Resgatado,2026-03-19 18:27:31,BS
234,22387,1,2,200,100,2,3480,3280,Resgatado,2026-03-19 18:27:48,BS
235,236714,1,3,1300,100,13,1818,518,Resgatado,2026-03-19 18:35:13,NK
236,298879,1,3,100,100,1,263,163,Resgatado,2026-03-19 18:35:15,NK
237,119262,1,3,6300,100,63,12359,6059,Resgatado,2026-03-19 18:37:17,NK
238,236714,1,4,800,100,8,863,63,Resgatado,2026-03-19 18:37:24,NR
239,133425,1,3,300,100,3,4380,4080,Resgatado,2026-03-19 18:40:09,NK
240,133425,1,3,300,100,3,4080,3780,Resgatado,2026-03-19 18:46:38,NK
241,133425,1,2,900,100,9,999,99,Resgatado,2026-03-19 18:50:03,BS
242,167220,1,5,900,100,9,5941,5041,Resgatado,2026-03-19 18:51:04,GS
243,100572,1,4,100,100,1,2272,2172,Resgatado,2026-03-19 18:52:39,NR
244,2374,1,2,10000,100,100,19453,9453,Resgatado,2026-03-19 18:53:01,BS
245,57576,1,5,1000,100,10,7943,6943,Resgatado,2026-03-19 18:55:33,GS
246,186102,1,2,300,100,3,13343,13043,Resgatado,2026-03-19 18:56:05,BS
247,260824,1,3,1000,100,10,2092,1092,Resgatado,2026-03-19 19:00:10,NK
248,53831,1,6,100,100,1,5347,5247,Resgatado,2026-03-19 19:03:57,NS
249,209405,1,4,1000,100,10,4363,3363,Resgatado,2026-03-19 19:11:06,NR
250,335438,1,1,2300,100,23,2319,19,Resgatado,2026-03-19 19:13:47,CS
251,209405,1,4,1000,100,10,3363,2363,Resgatado,2026-03-19 19:15:02,NR
252,202478,1,3,200,100,2,496,296,Resgatado,2026-03-19 19:17:10,NK
253,219748,1,1,3400,100,34,3435,35,Resgatado,2026-03-19 19:17:42,CS
254,422338,1,1,200,100,2,312,112,Resgatado,2026-03-19 19:20:59,CS
255,460844,1,3,100,100,1,3048,2948,Resgatado,2026-03-19 19:26:19,NK
256,460844,1,3,200,100,2,2948,2748,Resgatado,2026-03-19 19:27:12,NK
257,198683,1,3,600,100,6,7178,6578,Resgatado,2026-03-19 19:35:35,NK
258,409248,1,2,100,100,1,490,390,Resgatado,2026-03-19 19:36:19,BS
259,409248,1,2,300,100,3,390,90,Resgatado,2026-03-19 19:37:57,BS
260,349711,1,3,1000,100,10,1881,881,Resgatado,2026-03-19 19:40:42,NK
261,514628,1,3,100,100,1,130,30,Resgatado,2026-03-19 19:43:06,NK
262,347623,1,2,400,100,4,3574,3174,Resgatado,2026-03-19 19:44:42,BS
263,243838,1,5,100,100,1,254,154,Resgatado,2026-03-19 19:50:45,GS
264,253787,1,5,100,100,1,3380,3280,Resgatado,2026-03-19 19:55:49,GS
265,323157,1,3,400,100,4,6339,5939,Resgatado,2026-03-19 19:58:39,NK
266,323157,1,3,800,100,8,5939,5139,Resgatado,2026-03-19 20:00:12,NK
267,262754,1,1,1000,100,10,6093,5093,Resgatado,2026-03-19 20:01:22,CS
268,119345,1,3,100,100,1,4534,4434,Resgatado,2026-03-19 20:14:39,NK
269,119345,1,2,100,100,1,7405,7305,Resgatado,2026-03-19 20:15:41,BS
270,117735,1,2,3000,100,30,37132,34132,Resgatado,2026-03-19 20:17:05,BS
